ID rate coverage ON_dnds ON_lowci ON_highci ON_muts OFF_dnds OFF_lowci OFF_highci OFF_muts Pval ON_na ON_NA ON_ns ON_NS OFF_na OFF_NA OFF_ns OFF_NS 	 
019_BAR ssb192.PatEsp ExonicOnly 1.12989769096979 0.620232177110072 2.05838307582489 59 0.98555666853254 0.855834422162821 1.13494176850465 930 0.0422918662749082 45 711053 14 249952 657 9802440 273 4014330 	 
019_BAR ssb7.PatEsp ExonicOnly 1.24443901070216 0.683107139497683 2.26704695022218 59 0.986585580217029 0.856728047707604 1.13612645862702 930 0.000322801216386902 45 653179 14 252884 657 9473740 273 3883770 	 
038_CM ssb192.PatEsp ExonicOnly 0 0 NaN 2 0.77801454480757 0.413897294759391 1.46245640058641 45 0.238391995982014 0 1529770 2 507125 31 19270500 14 6770910 	 
038_CM ssb7.PatEsp ExonicOnly 0 0 NaN 2 0.845735737126564 0.4499246504919 1.58975323832633 45 0.238391079419564 0 755767 2 289159 31 9932080 14 3793510 	 
043_CG ssb192.PatEsp ExonicOnly 0.168720461582042 0.0152983486168207 1.86076617966686 3 0.742087972194527 0.257835732673253 2.1358351989203 16 0.769315127100917 1 2012210 2 679002 11 28886400 5 9743750 	 
043_CG ssb7.PatEsp ExonicOnly 0.210313393895577 0.0190697342113275 2.31948251985519 3 0.872875476678608 0.303277504027061 2.51225966689613 16 0.764957148024344 1 636260 2 267628 11 9516370 5 3775730 	 
062_DM ssb192.PatEsp ExonicOnly 1.24030843568602 0.492343527013168 3.12459312003326 24 1.15939483568866 0.943779681717177 1.4242696409356 456 0.519659090000571 18 533531 6 220581 331 9499040 125 4159040 	 
062_DM ssb7.PatEsp ExonicOnly 1.32839142787771 0.527308818586056 3.34648915820163 24 1.13848474850455 0.926758597894058 1.39858202361557 456 0.11453703623268 18 469522 6 207903 331 8753240 125 3763380 	 
065_DM ssb192.PatEsp ExonicOnly 0.718207469387677 0.185719504355019 2.77743920177707 10 0.879467305737991 0.620541931173772 1.24643142589132 156 0.740958739851154 7 871245 3 268172 112 13185800 44 4555760 	 
065_DM ssb7.PatEsp ExonicOnly 0.831333810451319 0.214972980701293 3.2149158883251 10 0.968602015404661 0.683434698309424 1.37275761737476 156 0.736234312463329 7 602227 3 214565 112 9432800 44 3589390 	 
083_GR ssb192.PatEsp ExonicOnly 0.85699011357068 0.484835553514989 1.5148117985979 56 0.885721103150964 0.75750396446864 1.03564088343649 712 0.800816611822842 39 961407 17 359143 478 10126300 234 4390720 	 
083_GR ssb7.PatEsp ExonicOnly 0.974741134665072 0.551452384888376 1.72294710683378 56 0.885707109952801 0.757492164463655 1.03562430698813 712 0.211236581102064 39 854095 17 362894 478 9611110 234 4167270 	 
088_GG ssb192.PatEsp ExonicOnly 0.987077652354562 0.267224625891166 3.6460974948983 12 0.901279826961586 0.601371684906019 1.3507546191066 120 0.666585181924138 9 837077 3 275420 88 13083800 32 4288060 	 
088_GG ssb7.PatEsp ExonicOnly 1.09242537853156 0.295745268584734 4.0352298539904 12 0.946814771373441 0.631754798118418 1.41899763016987 120 0.477803213565365 9 601469 3 219020 88 9753460 32 3358080 	 
096_LA ssb192.PatEsp ExonicOnly 0.76848365955779 0.552579722325468 1.06875028837782 156 0.85263238892413 0.78128163105956 0.930499533779059 2241 0.63896650307903 102 661661 54 269193 1479 9150800 762 4019830 	 
096_LA ssb7.PatEsp ExonicOnly 0.826128966165529 0.594029516252644 1.14891908468544 156 0.83546447241075 0.765550425333516 0.911763695918961 2241 0.857790215564844 102 631785 54 276319 1479 9210390 762 3964540 	 
108_MC ssb192.PatEsp ExonicOnly 0.943849708391958 0.444488141874466 2.00422752274355 31 0.998354840187748 0.815253943364821 1.22257934276203 440 0.769790285529121 21 705056 10 316889 305 10346400 135 4572020 	 
108_MC ssb7.PatEsp ExonicOnly 0.99400474317616 0.468108317689562 2.11072734833146 31 1.01096547428857 0.825552014079381 1.2380218860154 440 0.900536398419867 21 610983 10 289200 305 9304220 135 4163420 	 
122_PS ssb192.PatEsp ExonicOnly 0.175010483363708 0.0158686957591306 1.93013726421333 3 0.720271357568011 0.377707461822268 1.37352574939374 41 0.685535470139916 1 1240060 2 434047 27 18127900 14 6770300 	 
122_PS ssb7.PatEsp ExonicOnly 0.204628553175827 0.0185542779087485 2.25678633167991 3 0.785305046204681 0.411811086542407 1.49754153423608 41 0.722327676150822 1 616737 2 252404 27 9412930 14 3832900 	 
124_PA ssb192.PatEsp ExonicOnly 0.769022817116305 0.362155970354996 1.6329928810679 31 0.879423246604014 0.707455287628064 1.09319339283331 374 0.755183711079071 21 1009330 10 369618 255 11139200 119 4571500 	 
124_PA ssb7.PatEsp ExonicOnly 0.891020279124544 0.419608564775872 1.89204845693156 31 0.903239426398763 0.726614549588973 1.12279845162707 374 0.922557692209794 21 828734 10 351628 255 9744450 119 4107400 	 
127_PM ssb192.PatEsp ExonicOnly 0 0 NaN 1 0.745208544367477 0.306575486418374 1.81141636402364 23 0.838813522250809 0 1645830 1 522604 16 29319900 7 9559130 	 
154_SG ssb192.PatEsp ExonicOnly Inf NaN Inf 1 0.425560481317289 0.095243086224665 1.90146854983322 7 1e-04 1 5905140 0 1822430 4 78950000 3 25198500 	 
171_VL ssb192.PatEsp ExonicOnly 2.39807097581383 1.0152732661794 5.66425477029825 45 0.829108914291498 0.696058369875153 0.987592136567903 563 1e-04 39 892783 6 329378 374 10537600 189 4415130 	 
171_VL ssb7.PatEsp ExonicOnly 2.73048193530219 1.15600667395754 6.44940746197879 45 0.835041396760284 0.701039028396472 0.994658359333065 563 1e-04 39 777677 6 326682 374 9770510 189 4123020 	 
175_ZA ssb192.PatEsp ExonicOnly 0.354935136749909 0.0499957200853084 2.51980053762631 4 1.09770508848619 0.689866144164973 1.74665289497547 93 0.306533114973471 2 1573310 2 558423 69 16494100 24 6297620 	 
175_ZA ssb7.PatEsp ExonicOnly 0.439864736272867 0.0619588590582185 3.12274242935112 4 1.26615375138728 0.795730186242749 2.01468510162753 93 0.356258024873004 2 861724 2 379042 69 9497020 24 4182500 	 
176_ZV ssb192.PatEsp ExonicOnly 2.27266368637911 0.962184188059975 5.36802711469011 45 1.0377889502451 0.888395078311016 1.21230546363406 772 1e-04 39 628351 6 219697 548 9679620 224 4106150 	 
176_ZV ssb7.PatEsp ExonicOnly 2.57063630078519 1.08833764793643 6.07183499825335 45 1.04102993848316 0.891169695067537 1.21609122910717 772 1e-04 39 566996 6 224237 548 9230690 224 3927940 	 
190_FA ssb192.PatEsp ExonicOnly 0.853224211320526 0.344375615702367 2.11395703431692 21 1.13345737080358 0.93094688795192 1.3800206884298 496 0.479340384895146 14 528827 7 225604 359 9528280 137 4121410 	 
190_FA ssb7.PatEsp ExonicOnly 0.959851038500617 0.387412222043623 2.37813449693662 21 1.1537294832273 0.947597328161789 1.40470226098689 496 0.958744660703492 14 458642 7 220114 359 8702280 137 3831450 	 
204_CAF ssb192.PatEsp ExonicOnly 1.07970939592133 0.425699019178658 2.73849762717255 23 1.16845233835206 0.856038393193253 1.59488316385764 211 0.782417523712982 17 1122260 6 427664 158 11969000 53 4691240 	 
204_CAF ssb7.PatEsp ExonicOnly 1.13951919928909 0.449280992085622 2.89019202134152 23 1.15534574119234 0.846436504432749 1.57699271873157 211 0.943754919287621 17 890875 6 358295 158 9981430 53 3868330 	 
ANGIO2223 ssb192.PatEsp ExonicOnly 0 0 NaN 2 0.362040967282447 0.139682050433611 0.938371635636756 17 0.961328818164718 0 3414390 2 1071860 9 45492400 8 14640100 	 
ANGIO2223 ssb7.PatEsp ExonicOnly 0 0 NaN 2 0.447775930214428 0.172760277067987 1.16058708951064 17 0.961328100708432 0 688360 2 282637 9 9556130 8 3803560 	 
ANGIO299 ssb192.PatEsp ExonicOnly 1.50266200868859 0.175549845533117 12.862443029627 6 0.931659330503297 0.538107459202515 1.61304084250099 68 0.0370026220816483 5 1551460 1 466264 51 19151700 17 5947620 	 
ANGIO299 ssb7.PatEsp ExonicOnly 1.70230590351829 0.198873685567306 14.5713559518128 6 1.01873172144202 0.58839905594678 1.76379397521686 68 0.0224458320988594 5 809314 1 275540 51 10360500 17 3518190 	 
MAYA127 ssb192.PatEsp ExonicOnly 0.329978313863298 0.0206387414305607 5.27580802155496 2 0.76393318207804 0.397137168714208 1.46950240049032 42 0.913409685636216 1 1263480 1 416921 29 19308500 13 6612250 	 
MAYA127 ssb7.PatEsp ExonicOnly 0.388907059188976 0.0243245077852809 6.21798735769494 2 0.860501296276893 0.447339163437144 1.6552602281232 42 0.884306552129082 1 608441 1 236627 29 9632320 13 3715590 	 
MAYA160 ssb192.PatEsp ExonicOnly 0.170005643890003 0.0425171025065916 0.679773315640761 9 0.559294891017387 0.33933027829038 0.921847720582253 65 0.376591673854516 3 1541490 6 524124 40 17007300 25 5945060 	 
MAYA160 ssb7.PatEsp ExonicOnly 0.193689841892134 0.0484404447204568 0.774474523006559 9 0.611341031165298 0.370907436856123 1.00763139065196 65 0.403829799772758 3 875921 6 339314 40 10072100 25 3848430 	 
MAYA22 ssb192.PatEsp ExonicOnly 0.341231924661103 0.0853396349347396 1.36442660493941 8 0.871994992332406 0.59539859353812 1.27708644561102 129 0.185102332612518 4 1017270 4 347125 92 13609400 37 4772730 	 
MAYA22 ssb7.PatEsp ExonicOnly 0.377956046730152 0.0945242336399141 1.5112678221544 8 0.931377212581228 0.635945098441235 1.36405454999857 129 0.210825023428714 4 713030 4 269494 92 9887910 37 3703770 	 
MAYA_12 ssb192.PatEsp ExonicOnly 0.31367165730137 0.0196188158095769 5.01508806483279 2 1.07387662000751 0.350148630067587 3.29349032084864 17 0.741186470580735 1 2386470 1 748568 13 36234400 4 11972700 	 
MAYA_12 ssb7.PatEsp ExonicOnly 0.398869932617624 0.0249476427810454 6.37727713901356 2 1.3536496172015 0.441371722349399 4.15152976707073 17 0.740849240867877 1 592885 1 236484 13 9208500 4 3835410 	 
MAYA_132 ssb192.PatEsp ExonicOnly 0 0 NaN 2 0.865229231115157 0.429195153009975 1.74424560545646 38 0.399327820996336 0 1430270 2 507241 27 20053600 11 7068910 	 
MAYA_132 ssb7.PatEsp ExonicOnly 0 0 NaN 2 0.9995700529579 0.495834887140712 2.01506716105627 38 0.399326837887149 0 645769 2 281543 27 9455710 11 3850670 	 
MAYA_223 ssb192.PatEsp ExonicOnly Inf NaN Inf 3 0.758290980864928 0.371449540509706 1.54800383279405 35 1e-04 3 1508850 0 531999 24 21430900 11 7448310 	 
MAYA_223 ssb7.PatEsp ExonicOnly Inf NaN Inf 3 0.888826801487105 0.435392863055553 1.81448386885392 35 1e-04 3 636290 0 279110 24 9436030 11 3844040 	 
MAYA_282 ssb192.PatEsp ExonicOnly 0.324257113529407 0.0202809180238006 5.18433889752738 2 1.79875638087668 0.883636760016881 3.66160111930796 58 0.734103441744864 1 919656 1 298205 49 15767600 9 5209360 	 
MAYA_282 ssb7.PatEsp ExonicOnly 0.348669499961712 0.0218078386422287 5.57466018112329 2 1.86787986308332 0.917594036830157 3.80230961751793 58 0.746211641440745 1 522360 1 182131 49 9225400 9 3165050 	 
